Unnamed: 0,festival_dates,year,day_of_performance,artist,headliner,genre,spotify_popularity,genre_group
1,"July 31, 2025 - August 3, 2025",2025,Thursday,"TYLER, THE CREATOR",1.0,jangle pop,91.0,Pop
2,"July 31, 2025 - August 3, 2025",2025,Thursday,GRACIE ABRAMS,nan,lo-fi house,89.0,Electronic
3,"July 31, 2025 - August 3, 2025",2025,Thursday,LUKE COMBS,1.0,country,86.0,Folk / Country
4,"July 31, 2025 - August 3, 2025",2025,Thursday,ALEX WARREN,nan,lo-fi house,85.0,Electronic
5,"July 31, 2025 - August 3, 2025",2025,Thursday,CAGE THE ELEPHANT,nan,modern rock,75.0,Rock
6,"July 31, 2025 - August 3, 2025",2025,Thursday,ROLE MODEL,nan,bedroom pop,75.0,Pop
7,"July 31, 2025 - August 3, 2025",2025,Thursday,DOM DOLLA,nan,"house, tech house",72.0,Electronic
8,"July 31, 2025 - August 3, 2025",2025,Thursday,MARK AMBOR,nan,lo-fi house,72.0,Electronic
9,"July 31, 2025 - August 3, 2025",2025,Thursday,ROYEL OTIS,nan,indie,71.0,Indie / Alternative
10,"July 31, 2025 - August 3, 2025",2025,Thursday,MAGDALENA BAY,nan,lo-fi house,69.0,Electronic
11,"July 31, 2025 - August 3, 2025",2025,Thursday,2HOLLIS,nan,"hyperpop, electroclash",68.0,Pop
12,"July 31, 2025 - August 3, 2025",2025,Thursday,HALF-ALIVE,nan,lo-fi house,66.0,Electronic
13,"July 31, 2025 - August 3, 2025",2025,Thursday,JADE LEMAC,nan,lo-fi house,66.0,Electronic
14,"July 31, 2025 - August 3, 2025",2025,Thursday,MAU P,nan,"tech house, house",66.0,Electronic
15,"July 31, 2025 - August 3, 2025",2025,Thursday,THE BLESSED MADONNA,nan,lo-fi house,66.0,Electronic
16,"July 31, 2025 - August 3, 2025",2025,Thursday,BARRY CAN'T SWIM,nan,jazz house,65.0,Electronic
17,"July 31, 2025 - August 3, 2025",2025,Thursday,CLOONEE,nan,"tech house, house, latin house, techno",64.0,Electronic
18,"July 31, 2025 - August 3, 2025",2025,Thursday,XDINARY HEROES,nan,"k-rock, k-pop",64.0,Rock
19,"July 31, 2025 - August 3, 2025",2025,Thursday,SIERRA FERRELL,nan,"americana, alt country, bluegrass",63.0,Folk / Country
20,"July 31, 2025 - August 3, 2025",2025,Thursday,XAVIERSOBASED,nan,"cloud rap, underground hip hop",62.0,Hip-Hop / Rap
21,"July 31, 2025 - August 3, 2025",2025,Thursday,JULIE,nan,shoegaze,56.0,Other
22,"July 31, 2025 - August 3, 2025",2025,Thursday,OVERMONO,nan,"uk garage, breakbeat",56.0,Other
23,"July 31, 2025 - August 3, 2025",2025,Thursday,DURAND BERNARR,nan,neo soul,54.0,R&B / Soul
24,"July 31, 2025 - August 3, 2025",2025,Thursday,GLASS BEAMS,nan,lo-fi house,54.0,Electronic
25,"July 31, 2025 - August 3, 2025",2025,Thursday,PROSPA,nan,lo-fi house,54.0,Electronic
26,"July 31, 2025 - August 3, 2025",2025,Thursday,TORREN FOOT B2B AIRWOLF PARADISE,nan,tech house,52.0,Electronic
27,"July 31, 2025 - August 3, 2025",2025,Thursday,MATT CHAMPION,nan,bedroom pop,50.0,Pop
28,"July 31, 2025 - August 3, 2025",2025,Thursday,SUNAMI,nan,"hardcore, hardcore punk, grindcore",50.0,Punk
29,"July 31, 2025 - August 3, 2025",2025,Thursday,YANA,nan,lo-fi house,50.0,Electronic
30,"July 31, 2025 - August 3, 2025",2025,Thursday,THE DROPTINES,nan,red dirt,49.0,Other
31,"July 31, 2025 - August 3, 2025",2025,Thursday,FCUKERS,nan,lo-fi house,48.0,Electronic
32,"July 31, 2025 - August 3, 2025",2025,Thursday,THE SYMPOSIUM,nan,lo-fi house,47.0,Electronic
33,"July 31, 2025 - August 3, 2025",2025,Thursday,ALEXSUCKS,nan,lo-fi house,45.0,Electronic
34,"July 31, 2025 - August 3, 2025",2025,Thursday,AZZECCA,nan,"tech house, stutter house",45.0,Electronic
35,"July 31, 2025 - August 3, 2025",2025,Thursday,BLACK PARTY,nan,alternative r&b,44.0,Indie / Alternative
36,"July 31, 2025 - August 3, 2025",2025,Thursday,NOURISHED BY TIME,nan,lo-fi house,44.0,Electronic
37,"July 31, 2025 - August 3, 2025",2025,Thursday,RATBOYS,nan,lo-fi house,40.0,Electronic
38,"July 31, 2025 - August 3, 2025",2025,Thursday,BO STALOCH,nan,lo-fi house,39.0,Electronic
39,"July 31, 2025 - August 3, 2025",2025,Thursday,COLBY ACUFF,nan,lo-fi house,39.0,Electronic
40,"July 31, 2025 - August 3, 2025",2025,Thursday,SILLY GOOSE,nan,"rap metal, nu metal, rap rock",33.0,Rock
41,"July 31, 2025 - August 3, 2025",2025,Thursday,CHICAGO MADE,nan,lo-fi house,27.0,Electronic
42,"July 31, 2025 - August 3, 2025",2025,Thursday,GIRL TONES,nan,lo-fi house,27.0,Electronic
43,"July 31, 2025 - August 3, 2025",2025,Thursday,DJ HEATHER,nan,"chicago house, funky house",14.0,Electronic
44,"July 31, 2025 - August 3, 2025",2025,Friday,OLIVIA RODRIGO,1.0,jangle pop,88.0,Pop
45,"July 31, 2025 - August 3, 2025",2025,Friday,GIGI PEREZ,nan,lo-fi house,80.0,Electronic
46,"July 31, 2025 - August 3, 2025",2025,Friday,T-PAIN,nan,lo-fi house,80.0,Electronic
47,"July 31, 2025 - August 3, 2025",2025,Friday,KORN,1.0,"nu metal, metal, rap metal, alternative metal",78.0,Indie / Alternative
48,"July 31, 2025 - August 3, 2025",2025,Friday,DJO,nan,psychedelic pop,76.0,Pop
49,"July 31, 2025 - August 3, 2025",2025,Friday,FOSTER THE PEOPLE,nan,lo-fi house,74.0,Electronic
50,"July 31, 2025 - August 3, 2025",2025,Friday,ISABEL LAROSA,nan,lo-fi house,74.0,Electronic
51,"July 31, 2025 - August 3, 2025",2025,Friday,RAVYN LENAE,nan,alternative r&b,73.0,Indie / Alternative
52,"July 31, 2025 - August 3, 2025",2025,Friday,WALLOWS,nan,indie,73.0,Indie / Alternative
53,"July 31, 2025 - August 3, 2025",2025,Friday,BUNT.,nan,stutter house,70.0,Electronic
54,"July 31, 2025 - August 3, 2025",2025,Friday,BLADEE,nan,"cloud rap, hyperpop",69.0,Pop
55,"July 31, 2025 - August 3, 2025",2025,Friday,BLEACHERS,nan,lo-fi house,69.0,Electronic
56,"July 31, 2025 - August 3, 2025",2025,Friday,AMAARAE,nan,"alté, afrobeats",67.0,Other
57,"July 31, 2025 - August 3, 2025",2025,Friday,WYATT FLORES,nan,"country, red dirt",67.0,Folk / Country
58,"July 31, 2025 - August 3, 2025",2025,Friday,DEL WATER GAP,nan,lo-fi house,63.0,Electronic
59,"July 31, 2025 - August 3, 2025",2025,Friday,FLIPTURN,nan,lo-fi house,63.0,Electronic
60,"July 31, 2025 - August 3, 2025",2025,Friday,KNOCK2,nan,"bass house, edm, bassline",63.0,Electronic
61,"July 31, 2025 - August 3, 2025",2025,Friday,KENNY MASON,nan,lo-fi house,59.0,Electronic
62,"July 31, 2025 - August 3, 2025",2025,Friday,MURDA BEATZ,nan,lo-fi house,59.0,Electronic
63,"July 31, 2025 - August 3, 2025",2025,Friday,JANE REMOVER,nan,"hyperpop, shoegaze",57.0,Pop
64,"July 31, 2025 - August 3, 2025",2025,Friday,THE DARE,nan,electroclash,57.0,Other
65,"July 31, 2025 - August 3, 2025",2025,Friday,ISOXO,nan,"bass house, edm trap, edm",55.0,Hip-Hop / Rap
66,"July 31, 2025 - August 3, 2025",2025,Friday,ALLEYCVT,nan,"dubstep, edm",54.0,Electronic
67,"July 31, 2025 - August 3, 2025",2025,Friday,"HEY, NOTHING",nan,midwest emo,54.0,Other
68,"July 31, 2025 - August 3, 2025",2025,Friday,OLD MERVS,nan,surf rock,54.0,Rock
69,"July 31, 2025 - August 3, 2025",2025,Friday,TANNER ADELL,nan,lo-fi house,54.0,Electronic
70,"July 31, 2025 - August 3, 2025",2025,Friday,MIDNIGHT GENERATION,nan,"mexican indie, nu disco",53.0,Indie / Alternative
71,"July 31, 2025 - August 3, 2025",2025,Friday,ORLA GARTLAND,nan,indie pop,53.0,Indie / Alternative
72,"July 31, 2025 - August 3, 2025",2025,Friday,TAPE B,nan,"dubstep, bass music, riddim",53.0,Other
73,"July 31, 2025 - August 3, 2025",2025,Friday,STAR BANDZ,nan,lo-fi house,52.0,Electronic
74,"July 31, 2025 - August 3, 2025",2025,Friday,CAROLINE KINGSBURY,nan,lo-fi house,46.0,Electronic
75,"July 31, 2025 - August 3, 2025",2025,Friday,DOGPARK,nan,lo-fi house,44.0,Electronic
76,"July 31, 2025 - August 3, 2025",2025,Friday,ZINADELPHIA,nan,lo-fi house,44.0,Electronic
77,"July 31, 2025 - August 3, 2025",2025,Friday,CAROL ADES,nan,lo-fi house,42.0,Electronic
78,"July 31, 2025 - August 3, 2025",2025,Friday,CASSANDRA COLEMAN,nan,lo-fi house,42.0,Electronic
79,"July 31, 2025 - August 3, 2025",2025,Friday,HEX COUGAR,nan,"future bass, edm trap, melodic bass",41.0,Hip-Hop / Rap
80,"July 31, 2025 - August 3, 2025",2025,Friday,VIPERACTIVE,nan,"riddim, dubstep, bass music, deathstep",41.0,Other
81,"July 31, 2025 - August 3, 2025",2025,Friday,ALEMEDA,nan,lo-fi house,40.0,Electronic
82,"July 31, 2025 - August 3, 2025",2025,Friday,OCEAN ALLEY,nan,"noise rock, j-rock",38.0,Rock
83,"July 31, 2025 - August 3, 2025",2025,Friday,OTOBOKE BEAVER,nan,"noise rock, j-rock",38.0,Rock
84,"July 31, 2025 - August 3, 2025",2025,Friday,WINYAH,nan,lo-fi house,36.0,Electronic
85,"July 31, 2025 - August 3, 2025",2025,Friday,JESSE DETOR,nan,lo-fi house,35.0,Electronic
86,"July 31, 2025 - August 3, 2025",2025,Friday,MARY DROPPINZ,nan,lo-fi house,33.0,Electronic
87,"July 31, 2025 - August 3, 2025",2025,Saturday,DOECHII,nan,lo-fi house,88.0,Electronic
88,"July 31, 2025 - August 3, 2025",2025,Saturday,CLAIRO,nan,bedroom pop,81.0,Pop
89,"July 31, 2025 - August 3, 2025",2025,Saturday,TWICE,1.0,k-pop,79.0,Pop
90,"July 31, 2025 - August 3, 2025",2025,Saturday,MK.GEE,nan,trap latino,78.0,Hip-Hop / Rap
91,"July 31, 2025 - August 3, 2025",2025,Saturday,YOUNG MIKO,nan,trap latino,78.0,Hip-Hop / Rap
92,"July 31, 2025 - August 3, 2025",2025,Saturday,RÜFÜS DU SOL,1.0,jangle pop,76.0,Pop
93,"July 31, 2025 - August 3, 2025",2025,Saturday,FUJII KAZE,nan,j-pop,75.0,Pop
94,"July 31, 2025 - August 3, 2025",2025,Saturday,MARINA,nan,lo-fi house,75.0,Electronic
95,"July 31, 2025 - August 3, 2025",2025,Saturday,MONTELL FISH,nan,lo-fi house,75.0,Electronic
96,"July 31, 2025 - August 3, 2025",2025,Saturday,BOSSMAN DLOW,nan,lo-fi house,73.0,Electronic
97,"July 31, 2025 - August 3, 2025",2025,Saturday,CA7RIEL & PACO AMOROSO,nan,lo-fi house,73.0,Electronic
98,"July 31, 2025 - August 3, 2025",2025,Saturday,MAX MCNOWN,nan,lo-fi house,73.0,Electronic
99,"July 31, 2025 - August 3, 2025",2025,Saturday,BÔA,nan,lo-fi house,71.0,Electronic
100,"July 31, 2025 - August 3, 2025",2025,Saturday,CHASE & STATUS,nan,"drum and bass, jungle",71.0,Other
101,"July 31, 2025 - August 3, 2025",2025,Saturday,DAMIANO DAVID,nan,lo-fi house,71.0,Electronic
102,"July 31, 2025 - August 3, 2025",2025,Saturday,JPEGMAFIA,nan,"experimental hip hop, alternative hip hop, experimental",68.0,Indie / Alternative
103,"July 31, 2025 - August 3, 2025",2025,Saturday,OLE 60,nan,country,65.0,Folk / Country
104,"July 31, 2025 - August 3, 2025",2025,Saturday,ORION SUN,nan,"alternative r&b, bedroom pop",63.0,Indie / Alternative
105,"July 31, 2025 - August 3, 2025",2025,Saturday,NAOMI SCOTT,nan,lo-fi house,62.0,Electronic
106,"July 31, 2025 - August 3, 2025",2025,Saturday,BILMURI,nan,post-hardcore,61.0,Other
107,"July 31, 2025 - August 3, 2025",2025,Saturday,JEV.,nan,jazz rap,60.0,Hip-Hop / Rap
108,"July 31, 2025 - August 3, 2025",2025,Saturday,SAM AUSTINS,nan,lo-fi house,60.0,Electronic
109,"July 31, 2025 - August 3, 2025",2025,Saturday,FLUX PAVILION,nan,"dubstep, edm, dub",59.0,Electronic
110,"July 31, 2025 - August 3, 2025",2025,Saturday,CHARLOTTE LAWRENCE,nan,lo-fi house,57.0,Electronic
111,"July 31, 2025 - August 3, 2025",2025,Saturday,WASIA PROJECT,nan,lo-fi house,57.0,Electronic
112,"July 31, 2025 - August 3, 2025",2025,Saturday,RACHEL GRAE,nan,lo-fi house,56.0,Electronic
113,"July 31, 2025 - August 3, 2025",2025,Saturday,TWO FRIENDS,nan,lo-fi house,56.0,Electronic
114,"July 31, 2025 - August 3, 2025",2025,Saturday,EDDIE AND THE GETAWAY,nan,lo-fi house,55.0,Electronic
115,"July 31, 2025 - August 3, 2025",2025,Saturday,LEVITY,nan,dubstep,55.0,Other
116,"July 31, 2025 - August 3, 2025",2025,Saturday,DR. FRESCH,nan,"g-house, bass house",53.0,Electronic
117,"July 31, 2025 - August 3, 2025",2025,Saturday,KICKFLIP,nan,k-pop,53.0,Pop
118,"July 31, 2025 - August 3, 2025",2025,Saturday,NEWDAD,nan,lo-fi house,51.0,Electronic
119,"July 31, 2025 - August 3, 2025",2025,Saturday,DANIEL ALLAN,nan,stutter house,50.0,Electronic
120,"July 31, 2025 - August 3, 2025",2025,Saturday,JUNIOR VARSITY,nan,lo-fi house,49.0,Electronic
121,"July 31, 2025 - August 3, 2025",2025,Saturday,LANDON CONRATH,nan,lo-fi house,49.0,Electronic
122,"July 31, 2025 - August 3, 2025",2025,Saturday,CARTER VAIL,nan,lo-fi house,48.0,Electronic
123,"July 31, 2025 - August 3, 2025",2025,Saturday,PEOPLE R UGLY,nan,lo-fi house,47.0,Electronic
124,"July 31, 2025 - August 3, 2025",2025,Saturday,DUA SALEH,nan,alternative r&b,46.0,Indie / Alternative
125,"July 31, 2025 - August 3, 2025",2025,Saturday,WINNETKA BOWLING LEAGUE,nan,lo-fi house,46.0,Electronic
126,"July 31, 2025 - August 3, 2025",2025,Saturday,ZOE KO,nan,lo-fi house,43.0,Electronic
127,"July 31, 2025 - August 3, 2025",2025,Saturday,LAYZ,nan,"riddim, dubstep, deathstep",41.0,Other
128,"July 31, 2025 - August 3, 2025",2025,Saturday,SALUTE,nan,"riddim, dubstep, deathstep",41.0,Other
129,"July 31, 2025 - August 3, 2025",2025,Saturday,TESSLA,nan,lo-fi house,6.0,Electronic
130,"July 31, 2025 - August 3, 2025",2025,Saturday,CHICAGO YOUTH SYMPHONY ORCHESTRA,nan,lo-fi house,4.0,Electronic
131,"July 31, 2025 - August 3, 2025",2025,Sunday,SABRINA CARPENTER,1.0,jangle pop,92.0,Pop
132,"July 31, 2025 - August 3, 2025",2025,Sunday,A$AP ROCKY,1.0,rap,86.0,Hip-Hop / Rap
133,"July 31, 2025 - August 3, 2025",2025,Sunday,THE MARÍAS,nan,bedroom pop,84.0,Pop
134,"July 31, 2025 - August 3, 2025",2025,Sunday,JOE P,nan,soft rock,80.0,Rock
135,"July 31, 2025 - August 3, 2025",2025,Sunday,DOMINIC FIKE,nan,lo-fi house,79.0,Electronic
136,"July 31, 2025 - August 3, 2025",2025,Sunday,ARTEMAS,nan,lo-fi house,77.0,Electronic
137,"July 31, 2025 - August 3, 2025",2025,Sunday,MARTIN GARRIX,nan,"edm, electronica, progressive house",77.0,Electronic
138,"July 31, 2025 - August 3, 2025",2025,Sunday,LATIN MAFIA,nan,latin r&b,76.0,R&B / Soul
139,"July 31, 2025 - August 3, 2025",2025,Sunday,WAVE TO EARTH,nan,lo-fi house,76.0,Electronic
140,"July 31, 2025 - August 3, 2025",2025,Sunday,IAN,nan,lo-fi house,71.0,Electronic
141,"July 31, 2025 - August 3, 2025",2025,Sunday,BOYNEXTDOOR,nan,k-pop,70.0,Pop
142,"July 31, 2025 - August 3, 2025",2025,Sunday,FINNEAS,nan,lo-fi house,70.0,Electronic
143,"July 31, 2025 - August 3, 2025",2025,Sunday,ISAIAH RASHAD,nan,lo-fi house,70.0,Electronic
144,"July 31, 2025 - August 3, 2025",2025,Sunday,GRYFFIN,nan,"edm, melodic bass",69.0,Electronic
145,"July 31, 2025 - August 3, 2025",2025,Sunday,MARIAH THE SCIENTIST,nan,alternative r&b,69.0,Indie / Alternative
146,"July 31, 2025 - August 3, 2025",2025,Sunday,MARIBOU STATE,nan,lo-fi house,69.0,Electronic
147,"July 31, 2025 - August 3, 2025",2025,Sunday,KATSEYE,nan,k-pop,68.0,Pop
148,"July 31, 2025 - August 3, 2025",2025,Sunday,JOEY VALENCE & BRAE,nan,lo-fi house,67.0,Electronic
149,"July 31, 2025 - August 3, 2025",2025,Sunday,REMI WOLF,nan,lo-fi house,67.0,Electronic
150,"July 31, 2025 - August 3, 2025",2025,Sunday,NIMINO,nan,"stutter house, melodic house",66.0,Electronic
151,"July 31, 2025 - August 3, 2025",2025,Sunday,STILL WOOZY,nan,bedroom pop,66.0,Pop
152,"July 31, 2025 - August 3, 2025",2025,Sunday,WILD RIVERS,nan,folk pop,66.0,Pop
153,"July 31, 2025 - August 3, 2025",2025,Sunday,SAMMY VIRJI,nan,"uk garage, bassline, bass house, house",65.0,Electronic
154,"July 31, 2025 - August 3, 2025",2025,Sunday,MARLON HOFFSTADT,nan,"hard house, eurodance, hypertechno, techno",64.0,Electronic
155,"July 31, 2025 - August 3, 2025",2025,Sunday,GRAHAM BARHAM,nan,country,63.0,Folk / Country
156,"July 31, 2025 - August 3, 2025",2025,Sunday,WUNDERHORSE,nan,lo-fi house,63.0,Electronic
157,"July 31, 2025 - August 3, 2025",2025,Sunday,LA FEMME,nan,"french indie pop, french pop, french house",60.0,Indie / Alternative
158,"July 31, 2025 - August 3, 2025",2025,Sunday,JIGITZ,nan,stutter house,58.0,Electronic
159,"July 31, 2025 - August 3, 2025",2025,Sunday,REBECCA BLACK,nan,hyperpop,58.0,Pop
160,"July 31, 2025 - August 3, 2025",2025,Sunday,ALIYAH'S INTERLUDE,nan,lo-fi house,57.0,Electronic
161,"July 31, 2025 - August 3, 2025",2025,Sunday,LAILA!,nan,sexy drill,55.0,Other
162,"July 31, 2025 - August 3, 2025",2025,Sunday,VINCENT LIMA,nan,lo-fi house,55.0,Electronic
163,"July 31, 2025 - August 3, 2025",2025,Sunday,BLK ODYSSY,nan,lo-fi house,54.0,Electronic
164,"July 31, 2025 - August 3, 2025",2025,Sunday,FLOWEROVLOVE,nan,lo-fi house,54.0,Electronic
165,"July 31, 2025 - August 3, 2025",2025,Sunday,WILLOW AVALON,nan,lo-fi house,54.0,Electronic
166,"July 31, 2025 - August 3, 2025",2025,Sunday,BENCHES,nan,lo-fi house,49.0,Electronic
167,"July 31, 2025 - August 3, 2025",2025,Sunday,LANDON BARKER,nan,lo-fi house,43.0,Electronic
168,"July 31, 2025 - August 3, 2025",2025,Sunday,LEKAN,nan,lo-fi house,43.0,Electronic
169,"July 31, 2025 - August 3, 2025",2025,Sunday,THE CRITICALS,nan,lo-fi house,35.0,Electronic
170,"July 31, 2025 - August 3, 2025",2025,Sunday,KAICREWSADE,nan,lo-fi house,32.0,Electronic
171,"July 31, 2025 - August 3, 2025",2025,Sunday,SOFIA CAMARA,nan,lo-fi house,27.0,Electronic
172,"July 31, 2025 - August 3, 2025",2025,Sunday,RAECOLA,nan,baltimore club,14.0,Other
173,"August 1, 2024 - August 4, 2024",2024,Thursday,CHAPPELL ROAN,nan,lo-fi house,88.0,Electronic
174,"August 1, 2024 - August 4, 2024",2024,Thursday,HOZIER,1.0,jangle pop,86.0,Pop
175,"August 1, 2024 - August 4, 2024",2024,Thursday,BENSON BOONE,nan,lo-fi house,86.0,Electronic
176,"August 1, 2024 - August 4, 2024",2024,Thursday,BIGXTHAPLUG,nan,southern hip hop,82.0,Hip-Hop / Rap
177,"August 1, 2024 - August 4, 2024",2024,Thursday,D4VD,nan,lo-fi house,82.0,Electronic
178,"August 1, 2024 - August 4, 2024",2024,Thursday,KESHA,nan,lo-fi house,81.0,Electronic
179,"August 1, 2024 - August 4, 2024",2024,Thursday,MEGAN THEE STALLION,1.0,jangle pop,80.0,Pop
180,"August 1, 2024 - August 4, 2024",2024,Thursday,FISHER,nan,"tech house, house, techno",78.0,Electronic
181,"August 1, 2024 - August 4, 2024",2024,Thursday,TYLA,nan,afrobeats,78.0,Other
182,"August 1, 2024 - August 4, 2024",2024,Thursday,LABRINTH,nan,lo-fi house,77.0,Electronic
183,"August 1, 2024 - August 4, 2024",2024,Thursday,SAM BARBER,nan,country,77.0,Folk / Country
184,"August 1, 2024 - August 4, 2024",2024,Thursday,LIZZY MCALPINE,nan,lo-fi house,75.0,Electronic
185,"August 1, 2024 - August 4, 2024",2024,Thursday,JUNGLE,nan,lo-fi house,74.0,Electronic
186,"August 1, 2024 - August 4, 2024",2024,Thursday,OLIVIA DEAN,nan,pop soul,74.0,Pop
187,"August 1, 2024 - August 4, 2024",2024,Thursday,MATT HANSEN,nan,lo-fi house,72.0,Electronic
188,"August 1, 2024 - August 4, 2024",2024,Thursday,ELYANNA,nan,lo-fi house,69.0,Electronic
189,"August 1, 2024 - August 4, 2024",2024,Thursday,DON DIABLO,nan,"future house, edm",68.0,Electronic
190,"August 1, 2024 - August 4, 2024",2024,Thursday,SAINT LEVANT,nan,arabic rap,64.0,Hip-Hop / Rap
191,"August 1, 2024 - August 4, 2024",2024,Thursday,FLO,nan,lo-fi house,63.0,Electronic
192,"August 1, 2024 - August 4, 2024",2024,Thursday,BRENN!,nan,lo-fi house,62.0,Electronic
193,"August 1, 2024 - August 4, 2024",2024,Thursday,RIOVAZ,nan,lo-fi house,62.0,Electronic
194,"August 1, 2024 - August 4, 2024",2024,Thursday,THE JAPANESE HOUSE,nan,lo-fi house,62.0,Electronic
195,"August 1, 2024 - August 4, 2024",2024,Thursday,MOCHAKK,nan,"tech house, house",59.0,Electronic
196,"August 1, 2024 - August 4, 2024",2024,Thursday,CAMDEN COX,nan,"stutter house, house",57.0,Electronic
197,"August 1, 2024 - August 4, 2024",2024,Thursday,CAMDEN COX,nan,"stutter house, house",57.0,Electronic
198,"August 1, 2024 - August 4, 2024",2024,Thursday,FLESHWATER,nan,shoegaze,56.0,Other
199,"August 1, 2024 - August 4, 2024",2024,Thursday,SPINALL,nan,"afrobeats, afrobeat, afropop, afropiano, alté, afroswing, azonto",56.0,Pop
200,"August 1, 2024 - August 4, 2024",2024,Thursday,QUANNNIC,nan,shoegaze,53.0,Other
201,"August 1, 2024 - August 4, 2024",2024,Thursday,GOLDIE BOUTILIER,nan,lo-fi house,52.0,Electronic
202,"August 1, 2024 - August 4, 2024",2024,Thursday,KASBO,nan,future bass,52.0,Other
203,"August 1, 2024 - August 4, 2024",2024,Thursday,BLONDSHELL,nan,lo-fi house,51.0,Electronic
204,"August 1, 2024 - August 4, 2024",2024,Thursday,DAÐI FREYR,nan,lo-fi house,50.0,Electronic
205,"August 1, 2024 - August 4, 2024",2024,Thursday,GIOLI & ASSIA,nan,melodic techno,49.0,Electronic
206,"August 1, 2024 - August 4, 2024",2024,Thursday,WALKER & ROYCE,nan,"tech house, bass house, house",48.0,Electronic
207,"August 1, 2024 - August 4, 2024",2024,Thursday,ADAN DIAZ,nan,bedroom pop,44.0,Pop
208,"August 1, 2024 - August 4, 2024",2024,Thursday,METTE,nan,lo-fi house,43.0,Electronic
209,"August 1, 2024 - August 4, 2024",2024,Thursday,BEEN STELLAR,nan,lo-fi house,41.0,Electronic
210,"August 1, 2024 - August 4, 2024",2024,Thursday,WALTER THE PRODUCER,nan,lo-fi house,41.0,Electronic
211,"August 1, 2024 - August 4, 2024",2024,Thursday,WORRY CLUB,nan,lo-fi house,40.0,Electronic
212,"August 1, 2024 - August 4, 2024",2024,Thursday,ABBY HOLLIDAY,nan,lo-fi house,38.0,Electronic
213,"August 1, 2024 - August 4, 2024",2024,Thursday,CHANCE EMERSON,nan,lo-fi house,34.0,Electronic
214,"August 1, 2024 - August 4, 2024",2024,Thursday,WOLVES OF GLENDALE,nan,lo-fi house,31.0,Electronic
215,"August 1, 2024 - August 4, 2024",2024,Thursday,BRANDI CYRUS,nan,lo-fi house,25.0,Electronic
216,"August 1, 2024 - August 4, 2024",2024,Thursday,"FARLEY ""JACKMASTER"" FUNK",nan,"chicago house, acid house, hip house",24.0,Electronic
217,"August 1, 2024 - August 4, 2024",2024,Friday,SZA,1.0,r&b,94.0,R&B / Soul
218,"August 1, 2024 - August 4, 2024",2024,Friday,STRAY KIDS,1.0,k-pop,86.0,Pop
219,"August 1, 2024 - August 4, 2024",2024,Friday,LOLA YOUNG,nan,lo-fi house,83.0,Electronic
220,"August 1, 2024 - August 4, 2024",2024,Friday,LAUFEY,nan,lo-fi house,81.0,Electronic
221,"August 1, 2024 - August 4, 2024",2024,Friday,RAYE,nan,lo-fi house,81.0,Electronic
222,"August 1, 2024 - August 4, 2024",2024,Friday,SEXYY RED,nan,lo-fi house,80.0,Electronic
223,"August 1, 2024 - August 4, 2024",2024,Friday,ALOK,nan,"brazilian bass, electronic, slap house, electro house",79.0,Electronic
224,"August 1, 2024 - August 4, 2024",2024,Friday,MEGAN MORONEY,nan,country,76.0,Folk / Country
225,"August 1, 2024 - August 4, 2024",2024,Friday,FAYE WEBSTER,nan,lo-fi house,75.0,Electronic
226,"August 1, 2024 - August 4, 2024",2024,Friday,MALCOLM TODD,nan,lo-fi house,74.0,Electronic
227,"August 1, 2024 - August 4, 2024",2024,Friday,GALANTIS,nan,lo-fi house,70.0,Electronic
228,"August 1, 2024 - August 4, 2024",2024,Friday,LOUD LUXURY,nan,lo-fi house,67.0,Electronic
229,"August 1, 2024 - August 4, 2024",2024,Friday,RENEÉ RAPP,nan,lo-fi house,66.0,Electronic
230,"August 1, 2024 - August 4, 2024",2024,Friday,VEEZE,nan,lo-fi house,66.0,Electronic
231,"August 1, 2024 - August 4, 2024",2024,Friday,VICTORIA MONÉT,nan,alternative r&b,65.0,Indie / Alternative
232,"August 1, 2024 - August 4, 2024",2024,Friday,ZEDD,nan,jersey club,65.0,Other
233,"August 1, 2024 - August 4, 2024",2024,Friday,RUEL,nan,lo-fi house,64.0,Electronic
234,"August 1, 2024 - August 4, 2024",2024,Friday,WISP,nan,shoegaze,64.0,Other
235,"August 1, 2024 - August 4, 2024",2024,Friday,IN THIS MOMENT,nan,metal,61.0,Metal
236,"August 1, 2024 - August 4, 2024",2024,Friday,DANIEL SEAVEY,nan,lo-fi house,59.0,Electronic
237,"August 1, 2024 - August 4, 2024",2024,Friday,IT'S MURPH,nan,"stutter house, house",59.0,Electronic
238,"August 1, 2024 - August 4, 2024",2024,Friday,NOIZU,nan,"tech house, house",58.0,Electronic
239,"August 1, 2024 - August 4, 2024",2024,Friday,TAYLOR ACORN,nan,lo-fi house,56.0,Electronic
240,"August 1, 2024 - August 4, 2024",2024,Friday,PAWPAW ROD,nan,indie r&b,54.0,Indie / Alternative
241,"August 1, 2024 - August 4, 2024",2024,Friday,QVEEN HERBY,nan,lo-fi house,54.0,Electronic
242,"August 1, 2024 - August 4, 2024",2024,Friday,KEVIN ABSTRACT,nan,lo-fi house,53.0,Electronic
243,"August 1, 2024 - August 4, 2024",2024,Friday,WILDERADO,nan,lo-fi house,53.0,Electronic
244,"August 1, 2024 - August 4, 2024",2024,Friday,GUDFELLA,nan,stutter house,51.0,Electronic
